User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Morgan,bicep curls,0,0.0,0,0,0,0,0,0,0,0,0
Morgan,bicep curls,0,0.16292595863342285,-0.1,0.9,-0.17,112,130,-54,132.48,-201.48,241.96
Morgan,bicep curls,0,0.24197101593017578,-0.09,0.9,-0.17,167,-44,-111,134.32,-202.4,241.04
Morgan,bicep curls,0,0.37110185623168945,-0.1,0.9,-0.17,137,97,-36,133.4,-203.32,240.12
Morgan,bicep curls,0,0.5408248901367188,-0.09,0.9,-0.17,28,425,25,134.32,-201.48,241.04
Morgan,bicep curls,0,0.6410188674926758,-0.11,0.9,-0.19,454,-35,-620,133.4,-200.56,243.8
Morgan,bicep curls,0,0.7411718368530273,-0.18,0.91,-0.23,2705,-362,-5141,142.6,-203.32,243.8
Morgan,bicep curls,0,0.8601570129394531,-0.29,0.88,-0.28,5701,-1967,-10206,195.04,-190.44,266.8
Morgan,bicep curls,0,0.9824390411376953,-0.46,0.8,-0.31,6517,-5909,-14419,302.68,-145.36,302.68
Morgan,bicep curls,0,1.1412239074707031,-0.63,0.67,-0.31,4591,-3463,-17247,424.12,-53.36,315.56
Morgan,bicep curls,0,1.2439069747924805,-0.77,0.4,-0.26,3317,-7554,-18860,522.56,81.88,296.24
Morgan,bicep curls,0,1.3589198589324951,-0.81,0.08,-0.17,-1267,-8286,-19063,579.6,241.04,236.44
Morgan,bicep curls,0,1.4801700115203857,-0.69,-0.21,-0.11,-3507,-5573,-16166,571.32,380.88,190.44
Morgan,bicep curls,0,1.6421229839324951,-0.53,-0.46,-0.06,-3565,-3497,-11641,527.16,470.12,165.6
Morgan,bicep curls,0,1.7591538429260254,-0.41,-0.63,-0.03,-2309,-2607,-4461,496.8,511.52,159.16
Morgan,bicep curls,0,1.857630968093872,-0.33,-0.69,-0.03,1738,3900,6356,494.96,514.28,160.08
Morgan,bicep curls,0,2.0027220249176025,-0.39,-0.68,-0.01,3852,2541,14948,527.16,459.08,175.72
Morgan,bicep curls,0,2.141676902770996,-0.56,-0.55,0.01,4730,4457,17259,583.28,348.68,186.76
Morgan,bicep curls,0,2.2420129776000977,-0.72,-0.33,-0.03,1734,5556,17253,592.48,213.44,226.32
Morgan,bicep curls,0,2.3726038932800293,-0.82,-0.06,-0.09,-1688,4364,17091,550.16,69.0,264.04
Morgan,bicep curls,0,2.541780948638916,-0.8,0.27,-0.18,-4285,6081,16113,450.8,-60.72,294.4
Morgan,bicep curls,0,2.641331911087036,-0.67,0.52,-0.25,-4786,4197,13882,327.52,-150.88,292.56
Morgan,bicep curls,0,2.751340866088867,-0.54,0.69,-0.28,-3469,3220,9811,220.8,-188.6,271.4
Morgan,bicep curls,0,2.872673988342285,-0.43,0.79,-0.28,-1158,-705,4722,185.84,-196.88,261.28
Morgan,bicep curls,0,3.0419819355010986,-0.39,0.82,-0.3,1905,-1654,-2726,161.92,-196.88,258.52
Morgan,bicep curls,0,3.1416900157928467,-0.45,0.86,-0.32,5670,-4172,-11546,209.76,-187.68,273.24
Morgan,bicep curls,0,3.24891996383667,-0.6,0.8,-0.34,7146,-6954,-18103,332.12,-130.64,304.52
