User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Lazar,shoulder,0,0.0,0,0,0,0,0,0,0,0,0
Lazar,shoulder,0,0.16829895973205566,0.51,-0.96,-0.13,92,599,722,-173.88,767.28,-232.76
Lazar,shoulder,0,0.24638009071350098,0.49,-0.97,-0.11,410,-410,531,-170.2,772.8,-233.68
Lazar,shoulder,0,0.3463170528411865,0.49,-0.97,-0.12,171,-522,-91,-168.36,770.96,-230.92
Lazar,shoulder,0,0.46332406997680664,0.5,-0.97,-0.13,3,85,130,-169.28,770.04,-230.0
Lazar,shoulder,0,0.5808401107788086,0.49,-0.97,-0.14,-8,-303,224,-167.44,772.8,-229.08
Lazar,shoulder,0,0.7466740608215332,0.5,-0.97,-0.14,138,149,-244,-168.36,772.8,-227.24
Lazar,shoulder,0,0.8463120460510254,0.5,-0.96,-0.13,656,-495,-162,-170.2,773.72,-229.08
Lazar,shoulder,0,0.9486351013183594,0.49,-0.95,-0.13,-3,-795,249,-172.96,768.2,-227.24
Lazar,shoulder,0,1.069962978363037,0.5,-0.96,-0.14,-324,-2284,429,-171.12,771.88,-218.96
Lazar,shoulder,0,1.2175641059875488,0.57,-1.11,-0.18,1146,-3069,162,-168.36,772.8,-196.88
Lazar,shoulder,0,1.3468830585479736,0.6,-1.23,-0.14,3178,-1645,-1823,-166.52,777.4,-167.44
Lazar,shoulder,0,1.4521219730377197,0.51,-1.12,-0.12,321,-71,896,-168.36,770.96,-169.28
Lazar,shoulder,0,1.5776031017303467,0.5,-1.03,-0.16,-1070,2565,3015,-152.72,794.88,-181.24
Lazar,shoulder,0,1.747115135192871,0.37,-0.98,-0.21,-1635,-200,5665,-118.68,832.6,-182.16
Lazar,shoulder,0,1.8472011089324951,0.23,-0.86,-0.18,-1849,-5643,8795,-51.52,884.12,-165.6
Lazar,shoulder,0,1.9661390781402588,0.2,-0.77,-0.13,99,5581,-2566,-30.36,898.84,-154.56
Lazar,shoulder,0,2.0850629806518555,0.25,-0.8,-0.12,2183,-2127,-4652,296.24,2381.88,-14602.24
Lazar,shoulder,0,2.2461020946502686,0.26,-0.83,-0.11,3069,-3177,-7198,-83.72,862.96,-161.0
Lazar,shoulder,0,2.3470749855041504,0.35,-1.0,-0.15,-87,-41,-3479,-127.88,816.96,-163.76
Lazar,shoulder,0,2.4658939838409424,0.33,-0.97,-0.19,-2662,1833,-1387,-147.2,793.04,-152.72
Lazar,shoulder,0,2.6077351570129395,0.41,-1.01,-0.2,-2036,2176,-1771,-161.0,778.32,-148.12
Lazar,shoulder,0,2.7472591400146484,0.46,-1.03,-0.19,-1539,1574,-480,-161.92,774.64,-140.76
Lazar,shoulder,0,2.8523731231689453,0.47,-1.07,-0.18,-238,-1232,1763,-149.96,785.68,-136.16
Lazar,shoulder,0,2.9646620750427246,0.45,-1.07,-0.2,-487,484,304,-145.36,792.12,-132.48
Lazar,shoulder,0,3.1098649501800537,0.48,-1.18,-0.25,988,2907,-1786,-143.52,792.12,-134.32
Lazar,shoulder,0,3.246613025665283,0.52,-1.21,-0.21,2461,2321,-2469,-153.64,789.36,-157.32
Lazar,shoulder,0,3.3510191440582275,0.5,-1.14,-0.11,1043,-1289,2920,-157.32,791.2,-171.12
Lazar,shoulder,0,3.477499008178711,0.4,-1.01,-0.1,-1188,729,8119,-126.04,821.56,-167.44
Lazar,shoulder,0,3.6462531089782715,0.26,-0.9,-0.19,-4977,-4567,7769,-58.88,876.76,-150.88
Lazar,shoulder,0,3.746415138244629,0.15,-0.85,-0.2,-1225,1302,367,7.36,908.04,-112.24
Lazar,shoulder,0,3.8850741386413574,0.16,-0.86,-0.22,-786,3825,-5295,-18.4,892.4,-115.92
Lazar,shoulder,0,4.0464770793914795,0.2,-0.85,-0.24,2396,1246,-7263,0.92,9.2,15722.8
Lazar,shoulder,0,4.147243976593018,0.29,-0.95,-0.26,3466,1149,-7786,-85.56,850.08,-116.84
Lazar,shoulder,0,4.247229099273682,0.34,-0.95,-0.24,1660,-1724,-4111,-133.4,805.0,-130.64
Lazar,shoulder,0,4.346985101699829,0.4,-0.99,-0.21,59,1560,-2902,-153.64,782.0,-135.24
Lazar,shoulder,0,4.466115951538086,0.46,-0.98,-0.2,-1127,2884,-1623,-169.28,763.6,-146.28
Lazar,shoulder,0,4.606248140335083,0.5,-1.01,-0.18,-1645,1121,-344,-178.48,757.16,-146.28
Lazar,shoulder,0,4.747230052947998,0.54,-1.06,-0.17,-1435,276,1468,-169.28,759.92,-138.92
Lazar,shoulder,0,4.8471410274505615,0.51,-1.08,-0.19,-1201,-334,1105,-160.08,773.72,-129.72
Lazar,shoulder,0,4.9726409912109375,0.47,-1.1,-0.23,1112,27,385,-157.32,773.72,-131.56
Lazar,shoulder,0,5.099775075912476,0.48,-1.16,-0.24,2726,1061,-251,-159.16,777.4,-142.6
Lazar,shoulder,0,5.247096061706543,0.41,-1.19,-0.21,2268,-129,2230,-161.92,782.0,-162.84
Lazar,shoulder,0,5.345818996429443,0.3,-1.02,-0.14,-453,1484,5826,-149.96,800.4,-166.52
Lazar,shoulder,0,5.474874019622803,0.28,-0.97,-0.22,-2529,-3107,6536,-119.6,824.32,-157.32
Lazar,shoulder,0,5.646800994873047,0.23,-0.83,-0.25,-285,1673,1841,-88.32,848.24,-132.48
Lazar,shoulder,0,5.747095108032227,0.29,-0.83,-0.2,2168,-845,-621,-86.48,852.84,-148.12
Lazar,shoulder,0,5.852268934249878,0.29,-0.85,-0.17,987,-2110,-925,-94.76,849.16,-149.04
Lazar,shoulder,0,5.9761340618133545,0.28,-0.83,-0.2,1277,-2346,-2488,-114.08,829.84,-151.8
Lazar,shoulder,0,6.1470489501953125,0.32,-0.91,-0.22,2880,-965,-4120,-137.08,803.16,-148.12
Lazar,shoulder,0,6.24672794342041,0.38,-0.99,-0.22,-112,693,-3347,-161.0,775.56,-151.8
Lazar,shoulder,0,6.352436065673828,0.42,-0.98,-0.2,-275,-354,-1438,-177.56,747.96,-142.6
Lazar,shoulder,0,6.49089503288269,0.47,-0.98,-0.21,-824,2084,-461,-186.76,742.44,-146.28
Lazar,shoulder,0,6.646942138671875,0.49,-0.99,-0.24,-520,1148,588,-186.76,744.28,-151.8
Lazar,shoulder,0,6.747058153152466,0.46,-1.01,-0.22,270,354,2051,-176.64,756.24,-145.36
Lazar,shoulder,0,6.846765041351318,0.48,-1.07,-0.2,266,-861,1595,-173.88,759.0,-145.36
Lazar,shoulder,0,6.958667039871216,0.52,-1.11,-0.2,-369,606,-235,-165.6,769.12,-138.0
Lazar,shoulder,0,7.093369960784912,0.56,-1.25,-0.21,1791,3574,-2001,-170.2,767.28,-150.88
Lazar,shoulder,0,7.24714994430542,0.49,-1.17,-0.23,1822,-117,4282,-172.04,772.8,-191.36
Lazar,shoulder,0,7.352306127548218,0.3,-0.94,-0.19,-5352,-1100,5296,-136.16,816.96,-191.36
Lazar,shoulder,0,7.473562955856323,0.31,-0.91,-0.11,808,-842,5381,-106.72,848.24,-183.08
