User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Morgan,tricep,0,0.0,0,0,0,0,0,0,0,0,0
Morgan,tricep,0,0.16125988960266113,-0.19,0.82,-0.34,-206,237,-256,136.16,-281.52,44.16
Morgan,tricep,0,0.2564880847930908,-0.18,0.82,-0.34,63,315,-218,135.24,-278.76,39.56
Morgan,tricep,0,0.37025904655456543,-0.18,0.82,-0.35,278,378,-204,136.16,-282.44,39.56
Morgan,tricep,0,0.49536991119384766,-0.19,0.83,-0.36,497,323,-365,138.0,-282.44,42.32
Morgan,tricep,0,0.6397080421447754,-0.2,0.84,-0.36,486,653,-1080,141.68,-282.44,48.76
Morgan,tricep,0,0.739933967590332,-0.19,0.84,-0.35,527,554,-817,151.8,-282.44,48.76
Morgan,tricep,0,0.862907886505127,-0.18,0.83,-0.35,-213,538,206,157.32,-283.36,49.68
Morgan,tricep,0,0.9880809783935547,-0.16,0.83,-0.31,-1168,-136,2482,141.68,-279.68,45.08
Morgan,tricep,0,1.1400420665740967,-0.11,0.86,-0.3,-2544,-211,4590,126.04,-278.76,36.8
Morgan,tricep,0,1.2402820587158203,-0.04,0.88,-0.26,-4817,-25,7822,75.44,-260.36,11.04
Morgan,tricep,0,1.3615210056304932,0.03,0.88,-0.2,-5777,1108,10283,-9.2,-219.88,-32.2
Morgan,tricep,0,1.4866430759429932,0.17,0.92,-0.15,-6530,893,10489,-103.96,-144.44,-81.88
Morgan,tricep,0,1.6406278610229492,0.29,0.92,-0.04,-6582,1944,8244,-173.88,-56.12,-134.32
Morgan,tricep,0,1.740576982498169,0.39,0.85,0.06,-3362,-509,4789,-208.84,23.0,-161.0
Morgan,tricep,0,1.841710090637207,0.45,0.79,0.09,-494,314,-279,-222.64,50.6,-166.52
Morgan,tricep,0,1.9667260646820068,0.5,0.8,0.1,4147,2596,-6048,-215.28,34.04,-170.2
Morgan,tricep,0,2.077820062637329,0.45,0.85,0.1,6851,341,-9078,-170.2,-42.32,-159.16
Morgan,tricep,0,2.24041485786438,0.36,0.93,0.05,6822,-347,-8891,-103.96,-134.32,-119.6
Morgan,tricep,0,2.342650890350342,0.31,0.97,-0.05,7141,-2526,-9290,-25.76,-206.08,-64.4
Morgan,tricep,0,2.477916955947876,0.13,0.95,-0.15,6222,-3892,-8914,60.72,-259.44,3.68
Morgan,tricep,0,2.6401829719543457,-0.04,0.89,-0.21,3715,639,-8204,148.12,-283.36,46.92
Morgan,tricep,0,2.740661859512329,-0.12,0.83,-0.27,2686,1637,-5775,185.84,-290.72,57.96
Morgan,tricep,0,2.840674877166748,-0.22,0.79,-0.32,1243,-464,-1916,237.36,-289.8,79.12
Morgan,tricep,0,2.9478540420532227,-0.23,0.8,-0.34,-1199,-262,3493,242.88,-288.88,84.64
Morgan,tricep,0,3.0629770755767822,-0.18,0.8,-0.3,-4259,1292,9652,189.52,-288.88,65.32
Morgan,tricep,0,3.195380926132202,-0.1,0.84,-0.26,-7445,1126,12058,80.04,-264.96,16.56
Morgan,tricep,0,3.3406879901885986,0.01,0.95,-0.22,-9482,1414,12170,-40.48,-203.32,-54.28
Morgan,tricep,0,3.4576618671417236,0.18,0.96,-0.09,-6930,1040,10943,-133.4,-98.44,-125.12
Morgan,tricep,0,3.5717740058898926,0.3,0.86,0.02,-6129,1325,8044,-194.12,-0.92,-161.92
Morgan,tricep,0,3.740539073944092,0.41,0.79,0.11,-4581,1733,3980,-207.92,42.32,-184.0
Morgan,tricep,0,3.8406450748443604,0.48,0.76,0.21,-17,1418,-234,-218.96,91.08,-206.08
Morgan,tricep,0,3.939718008041382,0.47,0.77,0.18,5670,-584,-5763,-206.08,61.64,-204.24
Morgan,tricep,0,4.082891941070557,0.49,0.8,0.13,7272,740,-8080,-164.68,-34.04,-172.04
Morgan,tricep,0,4.240195989608765,0.4,0.91,0.08,7716,262,-9575,-102.12,-128.8,-132.48
Morgan,tricep,0,4.340712070465088,0.31,0.97,-0.01,7621,1222,-9279,-22.08,-206.08,-81.88
Morgan,tricep,0,4.440294981002808,0.17,0.95,-0.1,7515,-583,-8520,23.0,-235.52,-53.36
Morgan,tricep,0,4.552850961685181,0.04,0.92,-0.2,6271,-646,-7702,103.04,-273.24,10.12
Morgan,tricep,0,4.6969990730285645,-0.08,0.86,-0.27,4554,-1137,-5574,182.16,-287.96,59.8
Morgan,tricep,0,4.840686082839966,-0.17,0.8,-0.32,1861,-735,-2481,228.16,-285.2,90.16
Morgan,tricep,0,4.940267086029053,-0.2,0.77,-0.33,-1592,100,2145,236.44,-285.2,93.84
Morgan,tricep,0,5.052824974060059,-0.2,0.79,-0.33,-4356,731,5521,196.88,-289.8,68.08
Morgan,tricep,0,5.166627883911133,-0.17,0.86,-0.32,-6874,657,8211,121.44,-277.84,18.4
