t (sec),x,y,z
0.133620023727417,0.21,-0.13,-0.96
0.23003888130187988,0.2,-0.12,-0.96
0.30351901054382324,0.21,-0.13,-0.95
0.4134390354156494,0.19,-0.12,-0.95
0.5158629417419434,0.19,-0.12,-0.95
0.6020379066467285,0.21,-0.13,-0.96
0.7121360301971436,0.21,-0.13,-0.96
0.821868896484375,0.21,-0.13,-0.96
0.9082920551300049,0.21,-0.13,-0.97
1.0179738998413086,0.2,-0.16,-0.96
1.1282448768615723,0.18,-0.21,-0.95
1.2181260585784912,0.17,-0.29,-0.93
1.3282389640808105,0.14,-0.39,-0.88
1.4445419311523438,0.11,-0.57,-0.72
1.5295929908752441,0.1,-0.71,-0.65
1.6395559310913086,0.09,-0.8,-0.54
1.7295360565185547,0.09,-0.92,-0.38
1.8544180393218994,0.07,-0.97,-0.26
1.9394989013671875,0.06,-1.01,-0.16
2.0391929149627686,0.06,-1.05,-0.11
2.1495609283447266,0.07,-1.06,-0.16
2.2656989097595215,0.08,-0.98,-0.29
2.3507790565490723,0.08,-0.95,-0.39
2.4883110523223877,0.09,-0.82,-0.54
2.5520050525665283,0.1,-0.69,-0.66
2.6620500087738037,0.15,-0.56,-0.76
2.761884927749634,0.23,-0.36,-0.94
2.8781750202178955,0.23,-0.27,-0.93
2.964521884918213,0.23,-0.21,-0.93
3.0805249214172363,0.22,-0.19,-0.93
3.185581922531128,0.24,-0.16,-0.95
3.270904064178467,0.23,-0.17,-0.96
3.3805148601531982,0.23,-0.19,-0.97
3.465796947479248,0.2,-0.25,-0.95
3.5757908821105957,0.14,-0.38,-0.88
3.6857879161834717,0.08,-0.56,-0.76
3.800752878189087,0.02,-0.74,-0.59
3.8870930671691895,0.0,-0.86,-0.43
4.003182888031006,-0.01,-0.96,-0.25
4.088227987289429,-0.02,-0.99,-0.11
4.198080062866211,-0.01,-1.0,-0.05
4.284549951553345,-0.02,-1.03,-0.02
4.410655975341797,-0.01,-1.05,-0.03
4.495734930038452,-0.01,-1.02,-0.1
4.605772018432617,0.02,-0.97,-0.26
4.722270965576172,0.05,-0.93,-0.38
4.8069539070129395,0.06,-0.82,-0.49
4.9235520362854,0.1,-0.74,-0.6
5.0082409381866455,0.13,-0.59,-0.74
5.130776882171631,0.19,-0.42,-0.84
5.215906858444214,0.24,-0.3,-0.91
5.332066059112549,0.26,-0.25,-0.93
5.41720986366272,0.26,-0.22,-0.94
5.527154922485352,0.26,-0.18,-0.94
5.617264032363892,0.23,-0.22,-0.94
5.719590902328491,0.21,-0.28,-0.95
5.829575061798096,0.15,-0.38,-0.9
5.945888996124268,0.11,-0.55,-0.82
6.030828952789307,0.03,-0.64,-0.69
6.140843868255615,0.01,-0.77,-0.6
6.23086404800415,-0.03,-0.84,-0.45
6.330971002578735,-0.05,-0.95,-0.26
6.440975904464722,-0.07,-0.99,-0.15
6.550904035568237,-0.08,-0.99,-0.07
6.638375997543335,-0.08,-1.0,-0.03
6.748318910598755,-0.09,-1.01,-0.03
6.858419895172119,-0.07,-1.01,-0.09
6.973345041275024,-0.03,-1.03,-0.22
7.057699918746948,0.01,-0.94,-0.37
7.174665927886963,0.06,-0.85,-0.51
7.2596399784088135,0.11,-0.73,-0.66
7.369350910186768,0.17,-0.49,-0.77
7.459621906280518,0.19,-0.38,-0.84
7.569591045379639,0.25,-0.3,-0.88
7.673456907272339,0.27,-0.25,-0.91
7.789548873901367,0.28,-0.22,-0.93
7.874677896499634,0.27,-0.22,-0.94
7.984492063522339,0.25,-0.27,-0.93
8.073523998260498,0.21,-0.34,-0.92
8.183384895324707,0.15,-0.49,-0.84
8.31228494644165,0.08,-0.62,-0.71
8.378257989883423,0.02,-0.76,-0.53
8.488569974899292,-0.02,-0.89,-0.33
8.598554849624634,-0.05,-0.97,-0.16
8.684592962265015,-0.08,-0.98,-0.06
8.794400930404663,-0.08,-0.99,0.03
8.89329195022583,-0.08,-1.0,0.07
8.992312908172607,-0.08,-1.01,0.07
9.102256059646606,-0.07,-1.05,0.02
9.212095975875854,-0.03,-1.01,-0.13
9.298232078552246,0.01,-0.91,-0.31
9.408154964447021,0.06,-0.85,-0.47
9.518065929412842,0.16,-0.72,-0.65
9.61440896987915,0.24,-0.55,-0.82
9.74596905708313,0.29,-0.36,-0.88
9.837228059768677,0.3,-0.28,-0.9
9.922210931777954,0.31,-0.25,-0.92
10.03846287727356,0.3,-0.23,-0.92
10.123498916625977,0.28,-0.27,-0.92
10.27603006362915,0.25,-0.35,-0.92
10.348471879959106,0.18,-0.49,-0.82
10.43346905708313,0.13,-0.67,-0.67
10.549778938293457,0.09,-0.83,-0.49
10.643476963043213,0.04,-0.93,-0.32
10.733273983001709,0.03,-1.01,-0.15
