User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Morgan,bicep curls,0,9.5367431640625e-07,0,0,0,0,0,0,0,0,0
Morgan,bicep curls,0,0.16863799095153809,-0.09,0.91,-0.11,70,178,-102,87.4,-228.16,176.64
Morgan,bicep curls,0,0.3469719886779785,-0.09,0.91,-0.11,67,150,-82,88.32,-230.0,175.72
Morgan,bicep curls,0,0.4471559524536133,-0.09,0.91,-0.11,154,163,-81,91.08,-232.76,175.72
Morgan,bicep curls,0,0.5477278232574463,-0.09,0.91,-0.11,137,186,-74,89.24,-230.92,176.64
Morgan,bicep curls,0,0.6473948955535889,-0.08,0.91,-0.11,133,64,-40,87.4,-231.84,176.64
Morgan,bicep curls,0,0.7477419376373291,-0.12,0.93,-0.13,1372,-1739,-1691,92.0,-229.08,182.16
Morgan,bicep curls,0,0.8477590084075928,-0.23,0.92,-0.21,5568,-2190,-7657,142.6,-227.24,208.84
Morgan,bicep curls,0,0.9696118831634521,-0.36,0.88,-0.27,8208,-2780,-11550,241.04,-201.48,256.68
Morgan,bicep curls,0,1.085784912109375,-0.52,0.77,-0.31,8721,-4907,-16148,364.32,-120.52,300.84
Morgan,bicep curls,0,1.2472829818725586,-0.68,0.55,-0.31,5961,-4657,-18968,429.64,-59.8,310.04
Morgan,bicep curls,0,1.347203016281128,-0.74,0.26,-0.24,3251,-7047,-20478,529.92,96.6,290.72
Morgan,bicep curls,0,1.4641790390014648,-0.7,-0.1,-0.16,-1294,-7749,-19622,575.0,272.32,233.68
Morgan,bicep curls,0,1.5805628299713135,-0.55,-0.35,-0.08,-3640,-5023,-13928,551.08,415.84,184.92
Morgan,bicep curls,0,1.7471630573272705,-0.44,-0.56,-0.05,-1118,-3748,-4607,517.96,486.68,163.76
Morgan,bicep curls,0,1.8718149662017822,-0.4,-0.67,-0.02,2422,1826,5932,517.04,494.04,150.88
Morgan,bicep curls,0,1.9542560577392578,-0.41,-0.66,0.0,3322,5754,14324,560.28,424.12,161.0
Morgan,bicep curls,0,2.095770835876465,-0.59,-0.54,-0.0,2646,5940,17197,598.92,295.32,193.2
Morgan,bicep curls,0,2.2463719844818115,-0.75,-0.34,-0.02,-574,4585,17478,2508.84,15722.8,0.92
Morgan,bicep curls,0,2.3505890369415283,-0.75,-0.07,-0.11,-2262,7648,17948,558.44,64.4,256.68
Morgan,bicep curls,0,2.4508209228515625,-0.79,0.26,-0.18,-4655,6920,15298,460.92,-69.92,290.72
Morgan,bicep curls,0,2.605681896209717,-0.73,0.54,-0.28,-5985,2719,12935,317.4,-161.0,287.96
Morgan,bicep curls,0,2.7476420402526855,-0.57,0.71,-0.31,-3919,878,9245,210.68,-204.24,255.76
Morgan,bicep curls,0,2.8475780487060547,-0.42,0.79,-0.28,-1986,-402,6715,142.6,-218.04,231.84
Morgan,bicep curls,0,2.970599889755249,-0.36,0.86,-0.28,1185,-224,-1149,113.16,-212.52,228.16
