User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Morgan,tricep,0,9.5367431640625e-07,0,0,0,0,0,0,0,0,0
Morgan,tricep,0,0.16170191764831543,-0.23,0.8,-0.35,40,-90,168,149.96,-273.24,74.52
Morgan,tricep,0,0.23986601829528809,-0.24,0.79,-0.35,34,228,137,148.12,-274.16,73.6
Morgan,tricep,0,0.3574259281158447,-0.24,0.79,-0.35,-11,245,-33,143.52,-269.56,73.6
Morgan,tricep,0,0.45247697830200195,-0.24,0.79,-0.35,149,120,-138,146.28,-274.16,72.68
Morgan,tricep,0,0.5861380100250244,-0.23,0.79,-0.35,317,250,-254,150.88,-274.16,71.76
Morgan,tricep,0,0.740602970123291,-0.25,0.8,-0.34,132,146,-189,149.04,-273.24,75.44
Morgan,tricep,0,0.8399109840393066,-0.23,0.81,-0.34,-148,-217,181,149.04,-272.32,74.52
Morgan,tricep,0,0.9397480487823486,-0.21,0.83,-0.32,-953,-102,1933,138.92,-275.08,67.16
Morgan,tricep,0,1.0787198543548584,-0.15,0.86,-0.3,-2383,-35,4498,126.04,-273.24,62.56
Morgan,tricep,0,1.2397708892822266,-0.04,0.89,-0.28,-3718,880,7937,75.44,-258.52,41.4
Morgan,tricep,0,1.339573860168457,0.04,0.94,-0.21,-4609,-932,10935,-12.88,-219.88,4.6
Morgan,tricep,0,1.4449968338012695,0.12,0.94,-0.15,-5160,-862,11656,-112.24,-149.04,-32.2
Morgan,tricep,0,1.5662569999694824,0.27,0.92,-0.07,-6006,2036,10121,-190.44,-49.68,-67.16
Morgan,tricep,0,1.7403910160064697,0.43,0.84,0.04,-4395,1943,7843,-240.12,43.24,-110.4
Morgan,tricep,0,1.8405230045318604,0.55,0.76,0.12,-1773,-1728,5566,-266.8,118.68,-122.36
Morgan,tricep,0,1.951503038406372,0.63,0.69,0.16,192,2825,-2040,-276.0,138.0,-115.0
Morgan,tricep,0,2.0749168395996094,0.64,0.69,0.16,3004,-550,-4670,-264.96,117.76,-126.96
Morgan,tricep,0,2.2407419681549072,0.6,0.76,0.13,5707,-1264,-7500,-244.72,51.52,-107.64
Morgan,tricep,0,2.34040904045105,0.58,0.82,0.06,6877,40,-10095,-200.56,-37.72,-73.6
Morgan,tricep,0,2.4673938751220703,0.42,0.9,-0.04,6564,-2758,-9591,-131.56,-131.56,-26.68
Morgan,tricep,0,2.5663979053497314,0.28,0.92,-0.14,5679,-2833,-9886,-52.44,-198.72,37.72
Morgan,tricep,0,2.7400989532470703,0.12,0.93,-0.25,4639,396,-9363,36.8,-241.04,78.2
Morgan,tricep,0,2.8401548862457275,-0.0,0.88,-0.31,4090,830,-8347,80.96,-253.0,95.68
Morgan,tricep,0,2.94016695022583,-0.17,0.82,-0.35,2980,-417,-6861,160.08,-266.8,126.04
Morgan,tricep,0,3.0497329235076904,-0.26,0.74,-0.39,1433,1542,-4389,217.12,-265.88,143.52
Morgan,tricep,0,3.186067819595337,-0.34,0.68,-0.42,221,-3498,-2457,248.4,-262.2,149.96
Morgan,tricep,0,3.3398618698120117,-0.34,0.66,-0.35,-1520,-642,2930,269.56,-264.96,142.6
Morgan,tricep,0,3.440070867538452,-0.31,0.69,-0.32,-4405,-2517,7603,226.32,-275.08,118.68
Morgan,tricep,0,3.5459489822387695,-0.21,0.79,-0.27,-5958,-949,12438,126.96,-272.32,72.68
Morgan,tricep,0,3.689771890640259,-0.1,0.9,-0.23,-7271,-307,16014,58.88,-255.76,45.08
Morgan,tricep,0,3.839988946914673,0.03,0.99,-0.16,-6806,1690,14532,-87.4,-176.64,-11.96
Morgan,tricep,0,3.940207004547119,0.23,0.97,-0.04,-5268,2524,9940,-184.92,-60.72,-75.44
Morgan,tricep,0,4.041208028793335,0.42,0.87,0.08,-5396,734,8669,-230.92,38.64,-117.76
Morgan,tricep,0,4.168885946273804,0.56,0.76,0.13,-4161,1278,7055,-264.96,133.4,-138.0
Morgan,tricep,0,4.2875659465789795,0.61,0.67,0.25,-9,1464,742,-267.72,180.32,-161.92
Morgan,tricep,0,4.4400529861450195,0.63,0.63,0.27,2973,2664,-5134,-259.44,147.2,-166.52
Morgan,tricep,0,4.5411999225616455,0.65,0.69,0.3,7274,799,-8985,-242.88,105.8,-164.68
Morgan,tricep,0,4.654757022857666,0.52,0.82,0.22,8823,-2388,-10759,-203.32,-3.68,-129.72
Morgan,tricep,0,4.792402982711792,0.41,0.9,0.05,8934,-3695,-11534,-129.72,-124.2,-69.92
Morgan,tricep,0,4.9404449462890625,0.24,0.96,-0.07,7675,564,-10914,-43.24,-207.0,9.2
Morgan,tricep,0,5.040434837341309,0.07,0.93,-0.19,6854,809,-10241,57.96,-255.76,64.4
Morgan,tricep,0,5.151193857192993,-0.05,0.86,-0.27,5047,1304,-8697,149.96,-272.32,112.24
Morgan,tricep,0,5.288750886917114,-0.15,0.78,-0.34,2770,552,-5651,211.6,-265.88,143.52
Morgan,tricep,0,5.440569877624512,-0.22,0.72,-0.38,499,-2793,-346,230.0,-266.8,148.12
Morgan,tricep,0,5.540195941925049,-0.28,0.73,-0.4,-1848,-1376,4177,233.68,-264.04,146.28
Morgan,tricep,0,5.667264938354492,-0.22,0.81,-0.35,-4370,214,10078,180.32,-271.4,126.96
Morgan,tricep,0,5.7810938358306885,-0.14,0.89,-0.28,-5686,-190,13862,70.84,-254.84,85.56
Morgan,tricep,0,5.939182996749878,-0.04,0.93,-0.27,-6832,1056,13308,-59.8,-194.12,34.96
Morgan,tricep,0,6.0403900146484375,0.15,0.93,-0.18,-5083,-167,10827,0.92,9.2,15722.8
Morgan,tricep,0,6.1649768352508545,0.31,0.87,-0.11,-6605,3711,9269,-228.16,-9.2,-45.08
Morgan,tricep,0,6.332538843154907,0.51,0.84,0.02,-6500,2307,9221,-244.72,43.24,-79.12
Morgan,tricep,0,6.439574956893921,0.63,0.73,0.12,-3629,995,5527,-274.16,138.92,-115.92
Morgan,tricep,0,6.539741039276123,0.65,0.62,0.15,-690,2,599,-286.12,194.12,-122.36
Morgan,tricep,0,6.639158010482788,0.66,0.6,0.18,3382,1838,-5777,-278.76,178.48,-126.96
Morgan,tricep,0,6.776242017745972,0.61,0.66,0.14,7102,-2769,-8090,-259.44,86.48,-109.48
Morgan,tricep,0,6.940335988998413,0.55,0.82,0.09,7507,1837,-11662,-207.0,-23.0,-87.4
Morgan,tricep,0,7.0398948192596436,0.42,0.92,0.01,10011,-3230,-13687,-164.68,-86.48,-65.32
Morgan,tricep,0,7.140393018722534,0.25,0.95,-0.1,7658,1871,-13115,-57.96,-195.96,12.88
Morgan,tricep,0,7.252579927444458,0.05,0.96,-0.2,6552,1696,-11452,61.64,-255.76,62.56
Morgan,tricep,0,7.39869499206543,-0.06,0.86,-0.3,6295,-2623,-7936,162.84,-272.32,115.92
Morgan,tricep,0,7.540395975112915,-0.16,0.76,-0.36,2587,-2482,-3267,230.0,-264.96,153.64
Morgan,tricep,0,7.639884948730469,-0.25,0.71,-0.39,-418,-2284,2938,242.88,-262.2,161.92
Morgan,tricep,0,7.7587339878082275,-0.26,0.74,-0.38,-3420,-452,6597,200.56,-265.88,143.52
Morgan,tricep,0,7.908615827560425,-0.22,0.78,-0.36,-5344,2705,9708,116.84,-262.2,106.72
Morgan,tricep,0,8.040369987487793,-0.1,0.88,-0.29,-7116,1377,11502,64.4,-252.08,74.52
Morgan,tricep,0,8.140389919281006,0.05,0.95,-0.22,-8633,3974,10891,-44.16,-201.48,12.88
Morgan,tricep,0,8.26760482788086,0.22,0.97,-0.11,-8349,1532,9549,-131.56,-117.76,-69.92
Morgan,tricep,0,8.381286859512329,0.34,0.9,0.02,-7195,2864,7195,-190.44,-23.92,-130.64
Morgan,tricep,0,8.540527820587158,0.46,0.81,0.13,-4619,-360,5649,-218.96,53.36,-167.44
Morgan,tricep,0,8.639171838760376,0.57,0.75,0.27,-3636,2812,3243,-234.6,115.0,-190.44
Morgan,tricep,0,8.75618600845337,0.61,0.67,0.31,-2142,-365,2850,-243.8,158.24,-201.48
Morgan,tricep,0,8.882493019104004,0.62,0.63,0.34,884,-122,-582,-245.64,167.44,-201.48
Morgan,tricep,0,9.04043197631836,0.63,0.63,0.34,3030,815,-3901,-241.04,155.48,-201.48
Morgan,tricep,0,9.139639854431152,0.59,0.69,0.29,6467,574,-6688,-224.48,93.84,-192.28
Morgan,tricep,0,9.24238395690918,0.53,0.81,0.2,9617,-1204,-8425,-191.36,-1.84,-161.92
Morgan,tricep,0,9.363749980926514,0.47,0.87,0.11,9471,513,-9353,-137.08,-108.56,-99.36
Morgan,tricep,0,9.510069847106934,0.3,0.95,-0.01,10161,-1648,-10117,-57.96,-194.12,-31.28
Morgan,tricep,0,9.639886856079102,0.14,0.95,-0.15,8952,-643,-10252,39.56,-246.56,55.2
Morgan,tricep,0,9.74518895149231,0.03,0.88,-0.24,6436,-2015,-7320,84.64,-260.36,86.48
Morgan,tricep,0,9.864786863327026,-0.09,0.81,-0.34,3614,-1802,-4836,155.48,-263.12,138.0
Morgan,tricep,0,10.01003885269165,-0.17,0.75,-0.38,508,-1379,-571,202.4,-262.2,157.32
Morgan,tricep,0,10.148802995681763,-0.22,0.75,-0.4,-2052,-1434,4342,195.96,-262.2,153.64
Morgan,tricep,0,10.243736982345581,-0.16,0.79,-0.42,-4611,2639,8458,142.6,-262.2,126.96
Morgan,tricep,0,10.379802942276001,-0.06,0.86,-0.37,-7023,1690,13063,32.2,-241.04,75.44
Morgan,tricep,0,10.540347814559937,0.09,0.91,-0.28,-8908,3766,13758,-92.92,-168.36,3.68
Morgan,tricep,0,10.63918399810791,0.28,0.92,-0.14,-9960,3103,10592,-143.52,-116.84,-46.0
Morgan,tricep,0,10.739733934402466,0.41,0.85,-0.04,-7442,2352,8214,-214.36,-4.6,-107.64
Morgan,tricep,0,10.86879587173462,0.58,0.8,0.13,-8485,3924,6168,-240.12,92.92,-162.84
