User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Lazar,bicep curls,0,1.1920928955078125e-06,0,0,0,0,0,0,0,0,0
Lazar,bicep curls,0,0.16841602325439453,0.05,0.94,-0.15,123,114,-206,74.52,33.12,-11.04
Lazar,bicep curls,0,0.24632906913757324,0.06,0.94,-0.15,263,-100,-45,73.6,30.36,-13.8
Lazar,bicep curls,0,0.34595704078674316,0.06,0.93,-0.14,279,-761,62,77.28,33.12,-10.12
Lazar,bicep curls,0,0.4454371929168701,0.06,0.93,-0.14,45,-2099,235,80.96,33.12,0.92
Lazar,bicep curls,0,0.5458180904388428,0.06,0.96,-0.13,105,-8168,-1133,91.08,33.12,-1.84
Lazar,bicep curls,0,0.6640369892120361,-0.06,0.96,-0.08,805,-14290,-4395,149.04,23.0,12.88
Lazar,bicep curls,0,0.792680025100708,-0.34,0.96,-0.06,-402,-15316,-14450,306.36,19.32,13.8
Lazar,bicep curls,0,0.9462502002716064,-0.73,0.87,0.12,-11114,-21995,-23752,560.28,86.48,-111.32
Lazar,bicep curls,0,1.0526862144470215,-0.73,0.65,0.28,-17405,-3120,-20999,707.48,278.76,-252.08
Lazar,bicep curls,0,1.2015891075134277,-0.66,0.32,0.41,-14614,-5040,-16030,739.68,478.4,-310.96
Lazar,bicep curls,0,1.345259189605713,-0.54,-0.02,0.39,-12138,670,-12129,725.88,564.88,-316.48
Lazar,bicep curls,0,1.446113109588623,-0.38,-0.27,0.27,1975,3443,-4673,687.24,695.52,-286.12
Lazar,bicep curls,0,1.571599006652832,-0.38,-0.54,0.3,4072,2006,13280,669.76,723.12,-274.16
Lazar,bicep curls,0,1.6866121292114258,-0.52,-0.52,0.29,10365,12800,11727,724.96,596.16,-249.32
Lazar,bicep curls,0,1.8453710079193115,-0.64,-0.3,0.19,889,20532,18494,712.08,435.16,-112.24
Lazar,bicep curls,0,1.9503250122070312,-0.69,-0.06,-0.02,-1495,23652,18436,567.64,264.96,48.76
Lazar,bicep curls,0,2.073892116546631,-0.62,0.33,-0.18,-9821,16969,16127,320.16,133.4,108.56
Lazar,bicep curls,0,2.179140090942383,-0.35,0.69,-0.31,-13745,7492,13911,120.52,46.92,34.04
Lazar,bicep curls,0,2.345271110534668,-0.16,0.87,-0.28,-11910,15724,9595,63.48,25.76,-19.32
Lazar,bicep curls,0,2.4462971687316895,-0.03,0.97,-0.28,-4830,559,2954,-39.56,34.04,-149.04
Lazar,bicep curls,0,2.549201011657715,0.04,0.96,-0.29,2222,-552,-982,-51.52,39.56,-168.36
