User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Lazar,tricep,0,9.5367431640625e-07,0.06,0.92,-0.25,5,341,-240,40.48,-11.96,-263.12
Lazar,tricep,0,0.16981792449951172,0.06,0.93,-0.25,-6,-163,-185,41.4,-11.96,-262.2
Lazar,tricep,0,0.24713492393493652,0.07,0.92,-0.26,86,-51,99,42.32,-11.96,-260.36
Lazar,tricep,0,0.3475780487060547,0.05,0.92,-0.24,137,126,138,41.4,-11.04,-258.52
Lazar,tricep,0,0.4598228931427002,0.06,0.91,-0.25,290,-73,11,39.56,-13.8,-260.36
Lazar,tricep,0,0.581017017364502,0.05,0.92,-0.25,83,195,-209,39.56,-11.96,-257.6
Lazar,tricep,0,0.7472538948059082,0.05,0.93,-0.26,65,-195,-467,44.16,-14.72,-257.6
Lazar,tricep,0,0.8483140468597412,0.06,0.92,-0.26,222,-67,-694,48.76,-13.8,-259.44
Lazar,tricep,0,0.9480819702148438,0.1,0.93,-0.28,620,1650,459,55.2,-14.72,-253.92
Lazar,tricep,0,1.0662128925323486,0.26,0.91,-0.26,-4,3726,5604,29.44,-8.28,-262.2
Lazar,tricep,0,1.1800880432128906,0.37,0.89,-0.16,-2697,1572,12979,-6.44,18.4,-269.56
Lazar,tricep,0,1.348388910293579,0.5,0.92,-0.14,-5005,851,17094,-112.24,118.68,-297.16
Lazar,tricep,0,1.4471919536590576,0.64,0.95,-0.11,-4705,1146,14578,-195.04,287.96,-327.52
Lazar,tricep,0,1.5481300354003906,0.72,0.77,-0.01,-4590,-252,6376,-218.04,421.36,-342.24
Lazar,tricep,0,1.6663539409637451,0.7,0.54,-0.02,-1318,-2548,5021,-222.64,490.36,-345.92
Lazar,tricep,0,1.812391996383667,0.71,0.48,-0.07,2394,-117,-4924,-229.08,504.16,-325.68
Lazar,tricep,0,1.9483718872070312,0.7,0.62,-0.11,5722,-4390,-14888,-227.24,385.48,-308.2
Lazar,tricep,0,2.0511069297790527,0.62,0.72,-0.11,4641,-2295,-19176,-209.76,283.36,-284.28
Lazar,tricep,0,2.1872189044952393,0.48,0.85,-0.16,1023,-2010,-15247,-113.16,104.88,-241.96
Lazar,tricep,0,2.348278045654297,0.34,0.97,-0.18,801,330,-15722,1.84,7.36,-231.84
Lazar,tricep,0,2.448340892791748,0.11,0.97,-0.21,82,1628,-9967,135.24,-49.68,-235.52
Lazar,tricep,0,2.5480129718780518,-0.1,0.93,-0.19,32,-3386,-5977,232.76,-63.48,-234.6
Lazar,tricep,0,2.667639970779419,-0.13,0.89,-0.22,427,-702,2099,256.68,-66.24,-234.6
Lazar,tricep,0,2.7863729000091553,-0.14,0.89,-0.25,-147,1221,9472,195.04,-57.96,-230.92
Lazar,tricep,0,2.947360038757324,-0.06,0.92,-0.16,-3023,-408,12989,135.24,-52.44,-232.76
Lazar,tricep,0,3.0525519847869873,0.13,0.93,-0.19,-2715,-1887,13934,12.88,1.84,-248.4
Lazar,tricep,0,3.178748846054077,0.32,0.96,-0.23,-3176,-1472,20770,-103.96,104.88,-263.12
Lazar,tricep,0,3.3483688831329346,0.58,0.92,-0.08,-3923,5552,17414,-207.92,291.64,-292.56
Lazar,tricep,0,3.447859048843384,0.61,0.75,-0.02,-5255,-4347,8915,-233.68,452.64,-304.52
Lazar,tricep,0,3.5471789836883545,0.75,0.56,-0.04,-1083,1869,-1041,-227.24,494.96,-333.96
Lazar,tricep,0,3.6862130165100098,0.7,0.5,-0.01,1417,-2569,-3817,-241.04,484.84,-300.84
Lazar,tricep,0,3.848361015319824,0.63,0.61,-0.09,4617,-4070,-13674,-232.76,377.2,-288.88
Lazar,tricep,0,3.9479868412017822,0.59,0.74,-0.06,6307,86,-17748,-213.44,286.12,-273.24
Lazar,tricep,0,4.062417984008789,0.47,1.0,-0.13,4281,2241,-12862,-124.2,121.44,-240.12
Lazar,tricep,0,4.186377048492432,0.25,1.0,-0.15,747,694,-17959,0.0,9.2,-219.88
Lazar,tricep,0,4.348176002502441,0.02,1.04,-0.17,481,-2192,-15708,163.76,-57.96,-218.96
Lazar,tricep,0,4.447417974472046,-0.04,0.9,-0.26,1353,2521,-5171,276.92,-65.32,-220.8
Lazar,tricep,0,4.555997848510742,-0.16,0.83,-0.17,881,2070,4646,278.76,-63.48,-219.88
Lazar,tricep,0,4.703810930252075,-0.16,0.85,-0.19,-1778,137,11589,245.64,-57.96,-225.4
Lazar,tricep,0,4.847162961959839,-0.01,0.95,-0.16,-3145,-1186,16663,122.36,-46.92,-230.92
Lazar,tricep,0,4.947336912155151,0.14,1.0,-0.25,-3426,-5448,16324,-28.52,31.28,-249.32
Lazar,tricep,0,5.059898853302002,0.29,1.0,-0.19,-3582,-2822,22564,-135.24,147.2,-273.24
Lazar,tricep,0,5.1736369132995605,0.59,1.05,0.01,-4800,3977,18803,-219.88,356.04,-319.24
Lazar,tricep,0,5.2913758754730225,0.64,0.75,-0.02,-2513,-92,120,-225.4,500.48,-326.6
Lazar,tricep,0,5.447726011276245,0.68,0.51,-0.08,-796,843,1323,-229.08,514.28,-332.12
Lazar,tricep,0,5.546908855438232,0.8,0.46,-0.0,555,490,-671,-227.24,509.68,-332.12
Lazar,tricep,0,5.668784856796265,0.83,0.45,0.07,2324,-2474,-5080,-230.0,495.88,-329.36
Lazar,tricep,0,5.7898030281066895,0.75,0.55,-0.02,5300,-1428,-11945,-235.52,425.04,-304.52
Lazar,tricep,0,5.947134971618652,0.66,0.78,-0.11,5391,-260,-18110,-207.0,267.72,-264.04
Lazar,tricep,0,6.068552017211914,0.44,0.91,-0.09,3057,-2360,-11357,-115.0,104.88,-227.24
Lazar,tricep,0,6.188639879226685,0.27,0.97,-0.17,1472,1465,-18485,13.8,-2.76,-212.52
Lazar,tricep,0,6.348022937774658,0.08,1.0,-0.19,-210,631,-10917,162.84,-58.88,-218.04
Lazar,tricep,0,6.44783091545105,-0.02,0.96,-0.25,485,522,-3901,243.8,-67.16,-222.64
Lazar,tricep,0,6.548462867736816,-0.14,0.89,-0.21,155,487,2507,249.32,-68.08,-224.48
Lazar,tricep,0,6.665060997009277,-0.14,0.94,-0.24,-2238,-336,10371,213.44,-65.32,-222.64
Lazar,tricep,0,6.803628921508789,-0.03,0.96,0.0,-3237,-1535,16795,84.64,-35.88,-244.72
Lazar,tricep,0,6.948186874389648,0.34,0.88,-0.07,-1926,2582,15423,-62.56,63.48,-257.6
Lazar,tricep,0,7.047001838684082,0.44,0.98,-0.21,-4409,-3104,22509,-185.84,227.24,-276.92
Lazar,tricep,0,7.154903888702393,0.58,0.88,0.02,-2062,3247,13899,-235.52,417.68,-298.08
Lazar,tricep,0,7.303473949432373,0.76,0.63,0.05,-1705,2399,8762,-238.28,490.36,-310.96
Lazar,tricep,0,7.447909832000732,0.79,0.48,-0.03,852,-3010,3366,-239.2,529.0,-299.92
Lazar,tricep,0,7.547852993011475,0.8,0.38,-0.0,1134,1700,-3977,-236.44,556.6,-294.4
Lazar,tricep,0,7.660061836242676,0.8,0.53,0.01,1959,449,-11155,-242.88,494.04,-291.64
Lazar,tricep,0,7.783696889877319,0.73,0.67,-0.04,4848,242,-15639,-231.84,354.2,-282.44
Lazar,tricep,0,7.948155879974365,0.62,0.86,-0.07,6217,487,-12787,-170.2,197.8,-270.48
Lazar,tricep,0,8.046980857849121,0.54,0.94,-0.07,5873,595,-11764,-78.2,71.76,-238.28
Lazar,tricep,0,8.155030012130737,0.29,0.94,-0.14,872,-6767,-16593,55.2,-23.0,-195.96
Lazar,tricep,0,8.291330814361572,-0.01,0.93,-0.24,-132,-518,-9969,116.84,-44.16,-193.2
Lazar,tricep,0,8.447952032089233,-0.14,0.85,-0.31,-540,133,-8041,231.84,-69.0,-197.8
Lazar,tricep,0,8.547112941741943,-0.15,0.82,-0.22,-98,1274,4316,288.88,-67.16,-212.52
Lazar,tricep,0,8.658551931381226,-0.11,0.93,-0.27,-2124,-25,18028,202.4,-62.56,-214.36
Lazar,tricep,0,8.773820877075195,-0.04,1.0,-0.2,-3780,2595,21563,7.36,4.6,-231.84
Lazar,tricep,0,8.920009851455688,0.18,0.94,-0.08,-3020,4898,21678,-144.44,155.48,-261.28
Lazar,tricep,0,9.04805588722229,0.55,0.87,-0.12,-6912,6071,14381,-218.96,360.64,-315.56
