User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Lazar,shoulder,0,0.0,0,0,0,0,0,0,0,0,0
Lazar,shoulder,0,0.16890692710876465,0.47,-0.96,-0.25,-746,40,-1288,-174.8,766.36,-170.2
Lazar,shoulder,0,0.24482202529907227,0.48,-0.96,-0.25,-1555,3166,-580,-180.32,757.16,-165.6
Lazar,shoulder,0,0.3459799289703369,0.49,-0.94,-0.24,327,2091,1115,-183.08,754.4,-184.92
Lazar,shoulder,0,0.4805569648742676,0.5,-0.96,-0.25,-747,555,-308,-175.72,759.92,-197.8
Lazar,shoulder,0,0.6451849937438965,0.52,-0.96,-0.21,-123,4081,76,-178.48,763.6,-207.92
Lazar,shoulder,0,0.7454798221588135,0.52,-0.96,-0.17,1421,-57,453,-175.72,765.44,-228.16
Lazar,shoulder,0,0.846153974533081,0.51,-0.97,-0.15,1986,-2204,438,-178.48,768.2,-226.32
Lazar,shoulder,0,0.9780919551849365,0.51,-0.96,-0.15,1222,-3486,-360,-178.48,761.76,-213.44
Lazar,shoulder,0,1.1454079151153564,0.5,-0.95,-0.15,1172,-2500,443,-179.4,764.52,-202.4
Lazar,shoulder,0,1.245832920074463,0.48,-0.95,-0.17,554,-1366,626,-177.56,763.6,-195.04
Lazar,shoulder,0,1.3463029861450195,0.49,-0.97,-0.19,573,-1474,256,-174.8,764.52,-189.52
Lazar,shoulder,0,1.4542407989501953,0.56,-1.1,-0.22,1177,-117,131,-170.2,773.72,-177.56
Lazar,shoulder,0,1.593148946762085,0.59,-1.21,-0.2,1886,-1129,-1388,-170.2,770.04,-174.8
Lazar,shoulder,0,1.7458410263061523,0.55,-1.16,-0.16,1481,1657,1312,-174.8,766.36,-183.08
Lazar,shoulder,0,1.846078872680664,0.46,-0.98,-0.17,-565,128,5263,-153.64,798.56,-206.08
Lazar,shoulder,0,1.9706799983978271,0.36,-0.87,-0.16,-142,-2151,7060,-105.8,844.56,-186.76
Lazar,shoulder,0,2.0916550159454346,0.34,-0.87,-0.15,-1819,727,1912,-92.0,857.44,-181.24
Lazar,shoulder,0,2.2461419105529785,0.3,-0.82,-0.14,1523,-1333,411,-66.24,874.0,-171.12
Lazar,shoulder,0,2.3571698665618896,0.26,-0.76,-0.15,2578,-1585,-5498,-76.36,871.24,-174.8
Lazar,shoulder,0,2.4918768405914307,0.29,-0.86,-0.15,4259,-1603,-5776,-124.2,831.68,-188.6
Lazar,shoulder,0,2.6460068225860596,0.36,-0.95,-0.12,903,-1981,-3221,-159.16,785.68,-191.36
Lazar,shoulder,0,2.746039867401123,0.41,-1.01,-0.11,-1247,2565,-949,-170.2,773.72,-190.44
Lazar,shoulder,0,2.867938995361328,0.47,-1.08,-0.13,-1990,3772,-220,-169.28,773.72,-196.88
Lazar,shoulder,0,2.9841208457946777,0.46,-1.08,-0.1,-1927,2710,-929,-172.96,777.4,-207.0
Lazar,shoulder,0,3.1451399326324463,0.5,-1.06,-0.07,-2279,103,-2551,-174.8,766.36,-207.0
Lazar,shoulder,0,3.246234893798828,0.6,-1.1,-0.11,-2882,704,-2694,-181.24,762.68,-178.48
Lazar,shoulder,0,3.3691840171813965,0.65,-1.17,-0.13,1507,1486,554,-184.92,758.08,-176.64
Lazar,shoulder,0,3.49188494682312,0.56,-1.14,-0.13,830,-2798,1480,-175.72,763.6,-185.84
Lazar,shoulder,0,3.6452109813690186,0.47,-1.06,-0.11,-198,-280,2978,-162.84,783.84,-168.36
