User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Kate,bicep curl,0,1.9073486328125e-06,0,0,0,0,0,0,0,0,0
Kate,bicep curl,0,0.16682696342468262,0.35,1.06,-0.63,-142,-10594,2665,2508.84,15722.8,0.92
Kate,bicep curl,0,0.3460578918457031,0.32,1.08,-0.58,-2819,-27060,3545,-105.8,-191.36,745.2
Kate,bicep curl,0,0.4457519054412842,0.07,1.18,-0.54,-3088,-22936,6373,-101.2,-211.6,642.16
Kate,bicep curl,0,0.5449278354644775,0.07,1.22,-0.54,-1529,-5647,6005,-141.68,-228.16,607.2
Kate,bicep curl,0,0.6450939178466797,-0.01,1.22,-0.48,726,-17784,1878,-167.44,-235.52,576.84
Kate,bicep curl,0,0.7563519477844238,-0.03,1.23,-0.43,570,-2905,1267,-178.48,-230.92,564.88
Kate,bicep curl,0,0.8690118789672852,0.01,1.24,-0.41,1746,-8619,596,-172.96,-235.52,563.96
Kate,bicep curl,0,0.9876530170440674,0.0,1.25,-0.4,1353,-5573,-352,-172.04,-231.84,558.44
Kate,bicep curl,0,1.1460058689117432,0.04,1.24,-0.4,2081,-9725,-168,-160.08,-225.4,559.36
Kate,bicep curl,0,1.246194839477539,-0.0,1.22,-0.41,2531,-12749,582,-169.28,-225.4,551.08
Kate,bicep curl,0,1.3714299201965332,-0.09,1.23,-0.39,1501,-11288,1781,-195.04,-224.48,534.52
Kate,bicep curl,0,1.5450208187103271,-0.12,1.23,-0.38,503,-6061,1683,-210.68,-227.24,529.92
Kate,bicep curl,0,1.646061897277832,-0.25,1.21,-0.31,-844,-32688,-12104,-213.44,-218.04,496.8
Kate,bicep curl,0,1.750053882598877,-0.83,1.08,0.08,-15892,-4714,-27570,-196.88,-118.68,395.6
Kate,bicep curl,0,1.8788578510284424,-1.13,0.72,0.54,-32768,-14674,-32672,-149.04,172.04,322.92
Kate,bicep curl,0,2.0462160110473633,-0.6,0.27,0.23,-32768,5885,-32471,-253.92,522.56,443.44
Kate,bicep curl,0,2.1864140033721924,-0.19,-0.15,-0.14,-20335,-12378,-18351,-449.88,602.6,614.56
Kate,bicep curl,0,2.3451898097991943,0.18,-0.42,-0.41,4981,-5342,1721,-501.4,586.96,652.28
Kate,bicep curl,0,2.445896863937378,0.23,-0.54,-0.45,22670,-3245,19629,-424.12,602.6,573.16
Kate,bicep curl,0,2.5459117889404297,-0.07,-0.41,-0.23,32672,-13511,32752,-229.08,479.32,405.72
Kate,bicep curl,0,2.652336835861206,-0.33,-0.06,0.21,32672,-8059,29647,-181.24,278.76,322.0
Kate,bicep curl,0,2.7875988483428955,-0.74,0.66,0.56,32454,-16499,19923,-228.16,-25.76,337.64
Kate,bicep curl,0,2.9460978507995605,-0.74,0.87,0.55,15777,-5594,9251,-332.12,-187.68,443.44
Kate,bicep curl,0,3.0461089611053467,-0.56,0.95,0.42,5060,-6677,2509,-369.84,-229.08,511.52
Kate,bicep curl,0,3.144974946975708,-0.47,1.02,0.38,-5471,-5254,-2480,-370.76,-226.32,500.48
Kate,bicep curl,0,3.2761788368225098,-0.54,1.0,0.62,-21327,-15666,-8682,-345.92,-181.24,437.0
Kate,bicep curl,0,3.445844888687134,-0.6,0.77,0.92,-32768,-8744,-11739,-350.52,32.2,305.44
Kate,bicep curl,0,3.545813798904419,-0.4,0.35,0.84,-32768,-12250,-13024,-397.44,383.64,329.36
Kate,bicep curl,0,3.6665518283843994,-0.04,-0.02,0.22,-32611,-744,-10930,-465.52,581.44,538.2
Kate,bicep curl,0,3.846282958984375,0.06,-0.38,-0.27,-6088,-6954,-817,-516.12,579.6,673.44
