User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Derek,bicep curl,0,1.9073486328125e-06,0,0,0,0,0,0,0,0,0
Derek,bicep curl,0,0.16498494148254395,0.93,0.96,-0.57,8430,2264,-1003,209.76,45.08,-92.0
Derek,bicep curl,0,0.24497294425964355,0.95,0.96,-0.57,8660,2122,-393,210.68,38.64,-83.72
Derek,bicep curl,0,0.34516286849975586,0.94,0.96,-0.57,7926,2160,-298,209.76,47.84,-83.72
Derek,bicep curl,0,0.44750189781188965,0.96,0.95,-0.57,7170,1277,-278,211.6,46.92,-85.56
Derek,bicep curl,0,0.5725729465484619,0.97,0.98,-0.58,6931,862,-46,213.44,41.4,-91.08
Derek,bicep curl,0,0.7451028823852539,0.96,0.96,-0.58,7477,591,284,213.44,41.4,-94.76
Derek,bicep curl,0,0.8451318740844727,0.96,0.97,-0.59,7616,1540,199,214.36,39.56,-98.44
Derek,bicep curl,0,0.9440748691558838,0.95,0.97,-0.6,7979,1751,124,211.6,34.96,-96.6
Derek,bicep curl,0,1.0449268817901611,0.94,0.96,-0.59,8163,2123,-359,212.52,36.8,-96.6
Derek,bicep curl,0,1.1838297843933105,0.95,0.96,-0.6,8177,2088,-436,212.52,37.72,-95.68
Derek,bicep curl,0,1.3445498943328857,0.95,0.96,-0.59,8164,2120,-367,216.2,35.88,-95.68
Derek,bicep curl,0,1.4451229572296143,0.96,0.96,-0.6,8121,2064,-71,216.2,40.48,-94.76
Derek,bicep curl,0,1.5444519519805908,0.94,0.97,-0.6,8206,2027,-127,213.44,37.72,-96.6
Derek,bicep curl,0,1.6563999652862549,0.94,0.97,-0.59,7807,1407,-19,216.2,39.56,-94.76
Derek,bicep curl,0,1.7738468647003174,0.94,0.98,-0.6,7719,1598,-83,214.36,35.88,-97.52
Derek,bicep curl,0,1.9177157878875732,1.03,0.96,-0.66,9872,668,2305,213.44,38.64,-96.6
Derek,bicep curl,0,2.0449059009552,1.2,0.86,-0.76,17321,-1965,10617,192.28,59.8,-69.0
Derek,bicep curl,0,2.149805784225464,1.28,0.67,-0.87,26572,3467,17705,127.88,124.2,-8.28
Derek,bicep curl,0,2.268821954727173,1.25,0.36,-0.91,30614,2905,19365,38.64,338.56,66.24
Derek,bicep curl,0,2.371335983276367,1.08,0.01,-0.82,30723,1184,17062,42.32,540.04,69.92
Derek,bicep curl,0,2.5163397789001465,0.85,-0.34,-0.59,28224,-722,12608,94.76,709.32,16.56
Derek,bicep curl,0,2.6451058387756348,0.7,-0.63,-0.35,21905,2247,7997,149.96,799.48,-55.2
Derek,bicep curl,0,2.750196933746338,0.58,-0.87,-0.09,14213,-3666,2299,183.08,849.16,-107.64
Derek,bicep curl,0,2.8964178562164307,0.51,-1.04,0.03,7041,2825,-609,204.24,854.68,-118.68
Derek,bicep curl,0,3.0447278022766113,0.48,-1.1,0.03,4520,3109,-2144,189.52,842.72,-104.88
Derek,bicep curl,0,3.148653984069824,0.47,-1.12,-0.01,2173,3062,-2838,176.64,828.0,-79.12
Derek,bicep curl,0,3.252574920654297,0.5,-1.09,-0.06,-2513,3045,-6644,449.88,0.92,2508.84
Derek,bicep curl,0,3.372408866882324,0.59,-0.96,-0.24,-7852,2745,-12713,98.44,719.44,8.28
Derek,bicep curl,0,3.493881940841675,0.75,-0.74,-0.44,-9384,1444,-16158,36.8,541.88,68.08
Derek,bicep curl,0,3.645070791244507,0.98,-0.41,-0.63,-8443,-8,-16356,37.72,374.44,71.76
Derek,bicep curl,0,3.754817008972168,1.14,-0.02,-0.75,-6495,-677,-14493,85.56,235.52,47.84
Derek,bicep curl,0,3.8813629150390625,1.16,0.34,-0.81,-3321,1394,-12376,147.2,134.32,4.6
Derek,bicep curl,0,4.0448548793792725,1.16,0.59,-0.81,725,147,-7911,198.72,78.2,-40.48
Derek,bicep curl,0,4.144791841506958,1.15,0.7,-0.81,6051,296,-2447,239.2,55.2,-69.92
Derek,bicep curl,0,4.244064807891846,1.17,0.76,-0.83,12191,1098,3733,241.04,54.28,-68.08
Derek,bicep curl,0,4.364966869354248,1.2,0.8,-0.88,18486,279,10379,198.72,93.84,-20.24
Derek,bicep curl,0,4.480990886688232,1.23,0.66,-0.95,26114,2727,15476,139.84,184.0,41.4
Derek,bicep curl,0,4.643901824951172,1.18,0.34,-0.96,30269,1617,18100,89.24,344.08,90.16
Derek,bicep curl,0,4.744252920150757,0.99,-0.03,-0.82,31408,991,16515,96.6,542.8,91.08
Derek,bicep curl,0,4.850006818771362,0.79,-0.36,-0.61,27525,760,11910,134.32,707.48,33.12
Derek,bicep curl,0,4.976180791854858,0.65,-0.66,-0.35,20182,-1482,6494,192.28,801.32,-39.56
Derek,bicep curl,0,5.1439759731292725,0.53,-0.94,-0.1,10210,686,612,229.08,836.28,-79.12
Derek,bicep curl,0,5.245072841644287,0.48,-1.1,-0.04,4083,4484,-2493,218.96,830.76,-71.76
Derek,bicep curl,0,5.344850778579712,0.46,-1.12,-0.09,1138,3184,-3177,195.96,809.6,-45.08
Derek,bicep curl,0,5.452600955963135,0.5,-1.1,-0.18,19,3593,-4879,164.68,775.56,-9.2
