User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Corey,bicep curl,0,0.0,-0.32,1.0,-0.67,7420,2342,3889,406.64,40.48,-186.76
Corey,bicep curl,0,0.1678760051727295,-0.19,1.05,-0.67,7374,5572,6074,367.08,26.68,-184.0
Corey,bicep curl,0,0.24310612678527832,-0.1,1.06,-0.67,7563,-4146,4291,336.72,2508.84,449.88
Corey,bicep curl,0,0.389862060546875,-0.07,1.06,-0.67,7921,-1868,3813,313.72,16.56,-190.44
Corey,bicep curl,0,0.5443780422210693,-0.07,1.1,-0.66,8192,-2972,2753,-5407.76,296.24,-20961.28
Corey,bicep curl,0,0.6442451477050781,-0.09,1.1,-0.65,6999,-1990,2686,276.92,10.12,-195.04
Corey,bicep curl,0,0.7587220668792725,-0.07,1.12,-0.66,7021,884,1619,260.36,9.2,-202.4
Corey,bicep curl,0,0.8723011016845703,-0.06,1.14,-0.68,8032,1796,1352,248.4,11.96,-207.92
Corey,bicep curl,0,0.9910740852355957,-0.02,1.12,-0.67,8525,382,1335,241.04,13.8,-202.4
Corey,bicep curl,0,1.144200086593628,0.01,1.13,-0.64,8079,759,1263,237.36,9.2,-199.64
Corey,bicep curl,0,1.249722957611084,0.05,1.14,-0.64,8137,1971,1438,219.88,11.04,-198.72
Corey,bicep curl,0,1.3648221492767334,0.03,1.15,-0.63,8208,1409,1235,212.52,10.12,-196.88
Corey,bicep curl,0,1.4925010204315186,0.03,1.18,-0.63,8039,1191,325,208.84,10.12,-196.88
Corey,bicep curl,0,1.6441969871520996,0.02,1.2,-0.62,8192,1458,-392,209.76,10.12,-195.96
Corey,bicep curl,0,1.744136095046997,0.01,1.19,-0.61,7721,1736,-942,211.6,12.88,-193.2
Corey,bicep curl,0,1.8433539867401123,0.03,1.19,-0.61,7691,2417,-941,216.2,9.2,-197.8
Corey,bicep curl,0,1.9546270370483398,0.03,1.17,-0.61,7691,1686,-562,230.0,8.28,-195.04
Corey,bicep curl,0,2.1034610271453857,-0.0,1.19,-0.63,8850,1023,-1418,225.4,10.12,-195.96
Corey,bicep curl,0,2.2442431449890137,-0.13,1.2,-0.73,14331,-1959,-6780,248.4,11.04,-179.4
Corey,bicep curl,0,2.358534097671509,-0.33,1.19,-0.8,20459,-2454,-13598,318.32,21.16,-133.4
Corey,bicep curl,0,2.482496976852417,-0.48,0.99,-0.86,25001,-1726,-18821,457.24,127.88,-43.24
Corey,bicep curl,0,2.6438169479370117,-0.59,0.6,-0.79,25481,-4164,-22142,555.68,284.28,-4.6
Corey,bicep curl,0,2.7432899475097656,-0.52,0.1,-0.7,21968,-2170,-21284,588.8,468.28,-10.12
Corey,bicep curl,0,2.844259023666382,-0.27,-0.4,-0.55,19264,-548,-18090,561.2,627.44,-50.6
Corey,bicep curl,0,2.9986119270324707,0.05,-0.79,-0.36,12993,352,-8036,510.6,732.32,-92.0
Corey,bicep curl,0,3.1442079544067383,0.2,-0.96,-0.31,3195,3526,7521,296.24,2381.88,-14602.24
Corey,bicep curl,0,3.2429680824279785,0.08,-0.96,-0.35,-929,3777,14349,555.68,647.68,-53.36
Corey,bicep curl,0,3.3440909385681152,-0.14,-0.77,-0.45,-4150,4836,18453,581.44,509.68,-19.32
Corey,bicep curl,0,3.4924099445343018,-0.29,-0.34,-0.6,-7524,5489,21487,567.64,337.64,-3.68
Corey,bicep curl,0,3.6432390213012695,-0.46,0.18,-0.71,-7658,6001,20448,495.88,166.52,-33.12
Corey,bicep curl,0,3.7439651489257812,-0.42,0.7,-0.75,-7061,5600,17044,382.72,54.28,-93.84
Corey,bicep curl,0,3.8441269397735596,-0.42,1.0,-0.78,-2384,8274,9873,2508.84,15722.8,0.92
Corey,bicep curl,0,3.9847609996795654,-0.45,1.16,-0.93,12160,-3176,-3042,250.24,7.36,-193.2
Corey,bicep curl,0,4.144087076187134,-0.6,1.28,-0.97,26916,-2591,-20407,348.68,34.96,-111.32
Corey,bicep curl,0,4.24284815788269,-0.62,1.03,-0.9,32505,-861,-31026,502.32,195.96,-13.8
Corey,bicep curl,0,4.35492205619812,-0.42,0.56,-0.72,31062,1177,-25438,552.0,452.64,19.32
Corey,bicep curl,0,4.469881057739258,-0.09,-0.13,-0.5,24353,-5801,-21339,526.24,655.04,-34.04
Corey,bicep curl,0,4.618752956390381,0.38,-0.68,-0.25,10076,-915,-4055,464.6,768.2,-106.72
Corey,bicep curl,0,4.744065046310425,0.36,-0.85,-0.23,-5414,4525,17862,492.2,732.32,-79.12
Corey,bicep curl,0,4.861027002334595,0.1,-0.69,-0.39,-9046,7064,21791,559.36,525.32,3.68
Corey,bicep curl,0,4.972355127334595,-0.2,-0.22,-0.58,-10487,276,25192,550.16,316.48,1.84
Corey,bicep curl,0,5.142965078353882,-0.41,0.24,-0.67,-9987,4957,23786,471.04,130.64,-45.08
Corey,bicep curl,0,5.243739128112793,-0.37,0.85,-0.73,-10306,9696,18851,317.4,22.08,-124.2
Corey,bicep curl,0,5.361043930053711,-0.48,1.06,-1.16,278,626,6609,218.96,7.36,-207.92
Corey,bicep curl,0,5.48361611366272,-0.49,1.25,-0.97,18522,3442,-9892,220.8,5.52,-193.2
Corey,bicep curl,0,5.64410400390625,-0.43,1.29,-1.02,29800,-6153,-18763,315.56,28.52,-101.2
Corey,bicep curl,0,5.7441301345825195,-0.51,1.01,-0.93,32120,804,-26717,465.52,165.6,-11.04
Corey,bicep curl,0,5.842939138412476,-0.38,0.52,-0.76,29838,-3138,-22385,538.2,396.52,34.96
Corey,bicep curl,0,5.974750995635986,-0.13,-0.16,-0.57,23151,-6221,-21394,521.64,655.96,-28.52
Corey,bicep curl,0,6.144183158874512,0.29,-0.7,-0.29,14131,-1986,-11035,469.2,765.44,-93.84
Corey,bicep curl,0,6.2427451610565186,0.39,-0.88,-0.24,-263,4374,11022,474.72,747.04,-80.96
Corey,bicep curl,0,6.3439929485321045,0.17,-0.87,-0.31,-6093,5459,17198,532.68,642.16,-32.2
Corey,bicep curl,0,6.479521989822388,-0.03,-0.57,-0.49,-9572,4051,20761,553.84,478.4,15.64
Corey,bicep curl,0,6.644113063812256,-0.27,-0.08,-0.67,-11733,4308,22346,533.6,278.76,5.52
Corey,bicep curl,0,6.7439351081848145,-0.37,0.49,-0.77,-12365,7824,19044,427.8,108.56,-43.24
Corey,bicep curl,0,6.861025094985962,-0.23,1.03,-0.77,-7699,11325,13557,267.72,10.12,-162.84
Corey,bicep curl,0,6.974622011184692,-0.28,1.13,-0.97,4513,-1204,3803,223.56,5.52,-213.44
Corey,bicep curl,0,7.143841028213501,-0.26,1.29,-0.93,20383,3387,-9597,242.88,5.52,-182.16
Corey,bicep curl,0,7.247287034988403,-0.35,1.24,-0.99,28384,-6667,-16302,333.96,42.32,-93.84
Corey,bicep curl,0,7.34268593788147,-0.35,0.94,-0.93,32319,886,-22830,455.4,170.2,1.84
Corey,bicep curl,0,7.481101036071777,-0.27,0.45,-0.79,29452,857,-18651,514.28,381.8,45.08
Corey,bicep curl,0,7.6437599658966064,-0.2,-0.11,-0.69,23749,-1364,-14528,509.68,557.52,26.68
Corey,bicep curl,0,7.743804931640625,0.06,-0.64,-0.44,20727,-1164,-13325,470.12,723.12,-45.08
