User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
Corey,shoulder,0,9.5367431640625e-07,0,0,0,0,0,0,0,0,0
Corey,shoulder,0,0.16437506675720215,0.31,-1.22,-0.04,7398,1647,-34,180.32,811.44,-111.32
Corey,shoulder,0,0.24408197402954102,0.31,-1.21,-0.04,7905,1962,75,181.24,814.2,-111.32
Corey,shoulder,0,0.34885406494140625,0.31,-1.21,-0.04,7775,1916,-18,183.08,814.2,-113.16
Corey,shoulder,0,0.4590280055999756,0.32,-1.21,-0.03,7740,1691,-9,183.08,812.36,-112.24
Corey,shoulder,0,0.5951600074768066,0.3,-1.2,-0.04,7868,1802,-70,183.08,814.2,-111.32
Corey,shoulder,0,0.744542121887207,0.3,-1.22,-0.03,7787,1761,-244,182.16,808.68,-113.16
Corey,shoulder,0,0.8442380428314209,0.31,-1.21,-0.04,7564,1656,-219,182.16,809.6,-109.48
Corey,shoulder,0,0.9640181064605713,0.31,-1.2,-0.04,7623,1540,-56,183.08,810.52,-111.32
Corey,shoulder,0,1.0925381183624268,0.3,-1.23,-0.03,7403,1443,178,186.76,811.44,-109.48
Corey,shoulder,0,1.2443151473999023,0.27,-1.42,0.08,10574,1132,305,185.84,816.04,-115.0
Corey,shoulder,0,1.3435781002044678,0.29,-1.61,0.17,15135,5577,565,183.08,831.68,-152.72
Corey,shoulder,0,1.450437068939209,0.25,-1.51,0.15,10382,4701,-2770,167.44,837.2,-194.12
Corey,shoulder,0,1.570451021194458,0.3,-1.26,0.09,1530,7179,-4856,138.0,819.72,-187.68
Corey,shoulder,0,1.731511116027832,0.33,-1.04,-0.0,-2857,8062,-3857,100.28,797.64,-152.72
Corey,shoulder,0,1.8440539836883545,0.34,-0.79,-0.04,-167,5201,-1679,71.76,769.12,-116.84
Corey,shoulder,0,1.944615125656128,0.37,-0.72,-0.11,12913,2372,2153,72.68,764.52,-113.16
Corey,shoulder,0,2.0787761211395264,0.4,-0.72,-0.15,17294,-1653,6237,102.12,793.96,-147.2
Corey,shoulder,0,2.244551181793213,0.31,-0.87,-0.09,13553,-4376,5256,149.96,824.32,-181.24
Corey,shoulder,0,2.3444981575012207,0.28,-1.14,-0.05,5467,-1683,1602,184.92,833.52,-181.24
Corey,shoulder,0,2.4552299976348877,0.21,-1.6,0.16,999,-2954,-242,199.64,830.76,-149.04
Corey,shoulder,0,2.576547145843506,0.2,-1.79,0.29,13196,-8163,-3456,200.56,815.12,-111.32
Corey,shoulder,0,2.7445759773254395,0.22,-1.79,0.32,19207,15935,-1131,189.52,829.84,-166.52
Corey,shoulder,0,2.844642162322998,0.27,-1.53,0.25,7827,12516,-6530,147.2,831.68,-237.36
Corey,shoulder,0,2.946524143218994,0.37,-1.2,0.1,-2845,5826,-4743,105.8,818.8,-212.52
Corey,shoulder,0,3.090466022491455,0.35,-0.93,0.03,-5732,3719,-2999,81.88,787.52,-161.0
Corey,shoulder,0,3.2435619831085205,0.29,-0.72,-0.02,1019,5089,-1424,60.72,764.52,-118.68
Corey,shoulder,0,3.344611167907715,0.33,-0.75,-0.12,13514,-2880,2122,63.48,770.04,-128.8
Corey,shoulder,0,3.4728481769561768,0.29,-0.72,-0.17,19017,-1101,5305,102.12,798.56,-156.4
Corey,shoulder,0,3.5852911472320557,0.24,-0.95,-0.13,13910,-4807,4220,143.52,827.08,-198.72
Corey,shoulder,0,3.7445600032806396,0.22,-1.17,-0.08,6377,-10,320,162.84,833.52,-196.88
Corey,shoulder,0,3.844576120376587,0.22,-1.5,0.07,2077,-5920,-1036,164.68,828.0,-168.36
Corey,shoulder,0,3.944288969039917,0.24,-1.69,0.27,9157,-4546,-1252,171.12,816.96,-135.24
Corey,shoulder,0,4.084129095077515,0.24,-1.68,0.31,15344,4546,614,175.72,826.16,-156.4
Corey,shoulder,0,4.243738174438477,0.28,-1.55,0.28,9740,6213,-1213,171.12,832.6,-192.28
Corey,shoulder,0,4.343696117401123,0.28,-1.38,0.16,2582,3730,-3214,151.8,828.92,-193.2
Corey,shoulder,0,4.451533079147339,0.32,-1.19,0.03,-1378,4544,-2643,127.88,810.52,-160.08
Corey,shoulder,0,4.576433181762695,0.32,-0.98,-0.06,-1513,8614,-2725,103.04,784.76,-125.12
Corey,shoulder,0,4.744543075561523,0.32,-0.8,-0.08,3526,6009,-2119,73.6,760.84,-106.72
Corey,shoulder,0,4.84414005279541,0.38,-0.8,-0.13,13502,68,1616,62.56,763.6,-115.92
Corey,shoulder,0,4.944435119628906,0.4,-0.76,-0.16,15999,-3529,4239,96.6,788.44,-134.32
Corey,shoulder,0,5.0827460289001465,0.33,-0.91,-0.11,13219,-5349,3643,135.24,810.52,-163.76
Corey,shoulder,0,5.2444751262664795,0.3,-1.15,-0.08,7438,-1209,682,156.4,820.64,-162.84
Corey,shoulder,0,5.344448089599609,0.34,-1.24,-0.08,2421,-1027,-457,164.68,815.12,-138.0
Corey,shoulder,0,5.449079990386963,0.32,-1.58,0.02,-307,-3243,777,175.72,800.4,-89.24
Corey,shoulder,0,5.577803134918213,0.28,-1.71,0.11,16030,-170,-50,191.36,795.8,-85.56
Corey,shoulder,0,5.7444281578063965,0.27,-1.74,0.2,20087,10143,1864,193.2,827.08,-155.48
Corey,shoulder,0,5.844436168670654,0.25,-1.53,0.16,11355,3961,-3014,183.08,836.28,-207.0
Corey,shoulder,0,5.944442987442017,0.23,-1.3,0.11,2599,7935,-5558,144.44,825.24,-210.68
Corey,shoulder,0,6.0676820278167725,0.32,-1.05,0.03,-1942,8530,-5377,110.4,803.16,-184.0
Corey,shoulder,0,6.217799186706543,0.37,-0.82,0.01,-2519,6130,-5162,63.48,775.56,-149.04
Corey,shoulder,0,6.343809127807617,0.4,-0.71,-0.02,8907,1425,2310,48.76,757.16,-130.64
Corey,shoulder,0,6.444173097610474,0.4,-0.69,-0.05,16890,-2991,4757,80.04,778.32,-143.52
Corey,shoulder,0,6.565238952636719,0.33,-0.82,-0.11,13999,-4779,6900,122.36,816.96,-184.0
Corey,shoulder,0,6.680299997329712,0.26,-1.11,0.06,9019,-1857,1227,165.6,829.84,-193.2
Corey,shoulder,0,6.844506025314331,0.3,-1.26,0.0,2278,-1169,-2026,167.44,830.76,-176.64
Corey,shoulder,0,6.943422079086304,0.26,-1.55,0.11,-1296,-3276,-1133,167.44,812.36,-125.12
Corey,shoulder,0,7.056559085845947,0.29,-1.68,0.11,12548,-568,30,170.2,796.72,-89.24
Corey,shoulder,0,7.177769184112549,0.28,-1.74,0.19,18907,7932,2348,180.32,818.8,-132.48
Corey,shoulder,0,7.34445595741272,0.29,-1.59,0.18,12264,5211,-1357,178.48,838.12,-191.36
Corey,shoulder,0,7.450214147567749,0.31,-1.35,0.12,4630,7666,-4982,138.0,827.08,-207.0
Corey,shoulder,0,7.548938035964966,0.28,-1.09,0.01,432,13390,-5787,93.84,800.4,-184.92
Corey,shoulder,0,7.70661997795105,0.36,-0.87,-0.02,-1281,5503,-4718,296.24,2381.88,-14602.24
