User,exerciseType,rep_count,t (sec),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
AJ,bicep curls,0,1.1920928955078125e-06,0,0,0,0,0,0,0,0,0
AJ,bicep curls,0,0.15601110458374023,0.01,0.91,-0.15,89,1582,104,-366.16,-181.24,550.16
AJ,bicep curls,0,0.3394041061401367,-0.01,0.91,-0.13,278,9204,-548,-346.84,-180.32,552.0
AJ,bicep curls,0,0.4392731189727783,0.03,0.91,-0.13,758,23131,-1285,-331.2,-179.4,552.92
AJ,bicep curls,0,0.5385730266571045,0.12,0.91,-0.13,854,25296,-1573,-277.84,-5407.76,471.96
AJ,bicep curls,0,0.6382992267608643,0.23,0.91,-0.09,1193,22039,-940,-237.36,-183.08,605.36
AJ,bicep curls,0,0.7385220527648926,0.29,0.9,-0.06,300,15310,-671,-230.0,-187.68,645.84
AJ,bicep curls,0,0.8513731956481934,0.35,0.9,-0.03,460,9775,-1443,-231.84,-176.64,668.84
AJ,bicep curls,0,0.9714310169219971,0.37,0.9,-0.01,1091,6520,-2133,-231.84,-170.2,691.84
AJ,bicep curls,0,1.1394331455230713,0.41,0.91,-0.01,799,5305,-845,-236.44,-169.28,709.32
AJ,bicep curls,0,1.239448070526123,0.39,0.89,0.02,-163,4726,990,-235.52,-181.24,713.0
AJ,bicep curls,0,1.3394851684570312,0.48,0.9,0.13,-6536,4367,7515,-261.28,-175.72,715.76
AJ,bicep curls,0,1.4676902294158936,0.66,0.85,0.27,-10534,2743,13699,-334.88,-191.36,667.92
AJ,bicep curls,0,1.5873210430145264,0.82,0.75,0.4,-12982,3312,15960,-443.44,-167.44,588.8
AJ,bicep curls,0,1.739436149597168,0.93,0.53,0.51,-14282,-2387,15452,-551.08,-82.8,506.0
AJ,bicep curls,0,1.849048137664795,0.95,0.25,0.56,-13753,-2172,14674,-630.2,56.12,457.24
AJ,bicep curls,0,1.9638922214508057,0.92,-0.08,0.49,-13728,-4536,13372,-666.08,208.84,443.44
AJ,bicep curls,0,2.1113622188568115,0.83,-0.35,0.44,-9841,-139,10382,-667.92,328.44,466.44
AJ,bicep curls,0,2.239302158355713,0.71,-0.58,0.26,-6563,-614,8674,-652.28,384.56,471.96
AJ,bicep curls,0,2.3474230766296387,0.6,-0.71,0.1,-215,1940,3232,-625.6,451.72,484.84
AJ,bicep curls,0,2.457794189453125,0.5,-0.73,0.08,8242,-3966,-5761,-615.48,449.88,477.48
AJ,bicep curls,0,2.5949761867523193,0.59,-0.72,0.2,11962,666,-11886,-650.44,376.28,458.16
AJ,bicep curls,0,2.7394020557403564,0.77,-0.63,0.41,11659,2889,-12107,-662.4,239.2,439.76
AJ,bicep curls,0,2.847590208053589,0.85,-0.44,0.48,11090,-2297,-11406,-643.08,116.84,446.2
AJ,bicep curls,0,2.9787402153015137,0.94,-0.17,0.46,10522,-2849,-12895,-612.72,-11.04,488.52
AJ,bicep curls,0,3.139292001724243,0.98,0.18,0.46,11291,1342,-14900,-529.92,-109.48,548.32
AJ,bicep curls,0,3.2382709980010986,0.9,0.46,0.58,12531,-2898,-13730,-432.4,-166.52,619.16
AJ,bicep curls,0,3.3590002059936523,0.75,0.7,0.36,9300,-2213,-10902,-377.2,-183.08,665.16
AJ,bicep curls,0,3.4839751720428467,0.68,0.78,0.28,1754,-1359,-2628,-306.36,-178.48,714.84
AJ,bicep curls,0,3.6390540599823,0.62,0.8,0.22,596,2717,-11,-284.28,-175.72,729.56
AJ,bicep curls,0,3.739230155944824,0.64,0.82,0.26,-6674,995,7411,-307.28,-174.8,721.28
AJ,bicep curls,0,3.8401741981506348,0.76,0.85,0.35,-13236,579,15171,-389.16,-179.4,660.56
AJ,bicep curls,0,3.9900732040405273,0.86,0.7,0.44,-14293,173,16957,-515.2,-127.88,567.64
AJ,bicep curls,0,4.138437032699585,0.94,0.45,0.5,-12695,-2545,14526,-603.52,-15.64,496.8
AJ,bicep curls,0,4.238758087158203,0.96,0.14,0.56,-12773,339,14252,-655.96,116.84,460.0
AJ,bicep curls,0,4.348713159561157,0.87,-0.15,0.49,-11142,-484,10798,-667.92,191.36,454.48
AJ,bicep curls,0,4.4687721729278564,0.78,-0.43,0.43,-8967,3056,8561,-661.48,300.84,447.12
AJ,bicep curls,0,4.63916015625,0.7,-0.63,0.34,-7191,2396,6683,-632.04,391.92,445.28
AJ,bicep curls,0,4.739350080490112,0.63,-0.74,0.16,-1821,-739,3677,-599.84,444.36,449.88
AJ,bicep curls,0,4.853857040405273,0.51,-0.75,0.16,6620,-2772,-4640,-609.04,441.6,451.72
AJ,bicep curls,0,4.973829030990601,0.59,-0.67,0.26,14816,-1051,-11917,-635.72,353.28,427.8
AJ,bicep curls,0,5.138406038284302,0.76,-0.55,0.45,15591,1523,-14349,-642.16,183.08,416.76
AJ,bicep curls,0,5.238860130310059,0.88,-0.24,0.72,14483,3812,-13407,-596.16,22.08,439.76
AJ,bicep curls,0,5.360023021697998,0.92,0.03,0.65,13647,376,-10426,-566.72,-37.72,468.28
AJ,bicep curls,0,5.492727041244507,0.89,0.33,0.69,13431,-3201,-11053,-508.76,-129.72,542.8
AJ,bicep curls,0,5.639317035675049,0.79,0.58,0.52,10408,-2775,-9806,-430.56,-178.48,625.6
AJ,bicep curls,0,5.738390207290649,0.67,0.75,0.37,9253,-3669,-8525,-353.28,2508.84,449.88
AJ,bicep curls,0,5.852535009384155,0.6,0.81,0.28,2340,1303,-2307,-307.28,-164.68,744.28
AJ,bicep curls,0,5.965021133422852,0.54,0.84,0.2,1220,908,-574,-295.32,-159.16,758.08
AJ,bicep curls,0,6.131503105163574,0.47,0.86,0.15,-897,-961,1034,-301.76,-163.76,757.16
AJ,bicep curls,0,6.239342212677002,0.47,0.85,0.14,-1858,-610,1563,-307.28,-161.0,749.8
AJ,bicep curls,0,6.341301202774048,0.54,0.87,0.23,-10010,-368,8809,-328.44,-171.12,731.4
AJ,bicep curls,0,6.478974103927612,0.7,0.82,0.35,-13078,1519,12297,-399.28,-174.8,659.64
AJ,bicep curls,0,6.639208078384399,0.85,0.64,0.5,-15918,-1233,14828,-494.96,-138.0,571.32
AJ,bicep curls,0,6.739159107208252,0.9,0.39,0.58,-14692,-569,14452,-591.56,-29.44,488.52
AJ,bicep curls,0,6.85391902923584,0.9,0.12,0.6,-13179,14,12484,-649.52,110.4,442.52
AJ,bicep curls,0,6.973799228668213,0.85,-0.17,0.56,-11312,-1521,11672,-657.8,244.72,430.56
AJ,bicep curls,0,7.139214992523193,0.76,-0.46,0.47,-9736,2137,8448,-643.08,355.12,437.92
AJ,bicep curls,0,7.239005088806152,0.66,-0.69,0.33,-9240,1274,8245,-601.68,434.24,451.72
AJ,bicep curls,0,7.356486082077026,0.52,-0.77,0.17,-3082,-1806,4041,-585.12,475.64,457.24
AJ,bicep curls,0,7.463884115219116,0.43,-0.8,0.17,5427,-949,-2979,-579.6,492.2,471.04
AJ,bicep curls,0,7.605026006698608,0.47,-0.76,0.15,13396,-4963,-13220,-607.2,433.32,445.28
AJ,bicep curls,0,7.7392802238464355,0.7,-0.64,0.36,14718,955,-17994,-658.72,272.32,437.92
AJ,bicep curls,0,7.840200185775757,0.79,-0.41,0.64,14930,3654,-15376,-634.8,96.6,442.52
AJ,bicep curls,0,7.991494178771973,0.85,-0.06,0.62,13393,1290,-11711,-569.48,-43.24,484.84
AJ,bicep curls,0,8.139095067977905,0.89,0.21,0.66,10590,-4038,-10162,-503.24,-137.08,546.48
AJ,bicep curls,0,8.239071130752563,0.84,0.48,0.56,9844,-669,-8899,-432.4,-169.28,617.32
AJ,bicep curls,0,8.353776216506958,0.79,0.64,0.47,6563,-1584,-6521,-402.04,-181.24,647.68
AJ,bicep curls,0,8.483787059783936,0.67,0.74,0.34,5135,-775,-4424,-351.44,-180.32,690.92
AJ,bicep curls,0,8.63832402229309,0.6,0.79,0.27,1834,-307,-1594,-325.68,-178.48,715.76
AJ,bicep curls,0,8.738938093185425,0.52,0.83,0.19,1601,-433,-1222,-314.64,-171.12,730.48
AJ,bicep curls,0,8.85010313987732,0.5,0.85,0.16,737,-723,-680,-312.8,-172.04,739.68
AJ,bicep curls,0,8.96396803855896,0.49,0.88,0.14,-3265,-1043,2407,-305.44,-5407.76,707.48
AJ,bicep curls,0,9.103713035583496,0.59,0.83,0.27,-11162,5096,10541,-368.92,-179.4,683.56
AJ,bicep curls,0,9.239153146743774,0.79,0.73,0.45,-15393,232,14100,-467.36,-155.48,586.04
AJ,bicep curls,0,9.33833122253418,0.88,0.52,0.58,-16350,-3144,14899,-519.8,-112.24,538.2
AJ,bicep curls,0,9.484045028686523,0.94,0.28,0.62,-14501,-1917,14181,-610.88,8.28,472.88
AJ,bicep curls,0,9.637997150421143,0.88,0.0,0.61,-13327,-3153,13180,-658.72,157.32,447.12
AJ,bicep curls,0,9.739297151565552,0.78,-0.28,0.53,-10645,676,10189,-670.68,291.64,449.88
AJ,bicep curls,0,9.861538171768188,0.71,-0.54,0.38,-8502,-11,8179,-639.4,393.76,457.24
AJ,bicep curls,0,9.97265911102295,0.61,-0.73,0.21,-5568,-835,5478,-613.64,460.92,476.56
AJ,bicep curls,0,10.138492107391357,0.51,-0.79,0.12,532,-1847,1036,-601.68,484.84,490.36
AJ,bicep curls,0,10.237824201583862,0.45,-0.72,0.08,10937,-1416,-8891,-607.2,438.84,473.8
AJ,bicep curls,0,10.338074207305908,0.58,-0.63,0.24,18000,-697,-17932,-645.84,364.32,450.8
AJ,bicep curls,0,10.484174013137817,0.81,-0.43,0.44,15675,-756,-17549,-662.4,165.6,444.36
AJ,bicep curls,0,10.639088153839111,0.98,-0.14,0.6,11769,5195,-12512,-607.2,1.84,471.04
AJ,bicep curls,0,10.739017009735107,0.88,0.15,0.67,11549,-2699,-9901,-539.12,-91.08,522.56
AJ,bicep curls,0,10.839086055755615,0.86,0.38,0.52,10651,4447,-7663,-471.04,-158.24,580.52
AJ,bicep curls,0,10.955145120620728,0.78,0.58,0.46,9086,-6605,-7110,-415.84,-175.72,643.08
